year,round,win1,win2,win3,win4,win5,win6,bonus,sum
2009,360,4,16,23,25,35,40,27,143
2009,359,1,10,19,20,24,40,23,114
2009,358,1,9,10,12,21,40,37,93
2009,357,10,14,18,21,36,37,5,136
2009,356,2,8,14,25,29,45,24,123
2009,355,5,8,29,30,35,44,38,151
2009,354,14,19,36,43,44,45,1,201
2009,353,11,16,19,22,29,36,26,133
2009,352,5,16,17,20,26,41,24,125
2009,351,5,25,27,29,34,36,33,156
2009,350,1,8,18,24,29,33,35,113
2009,349,5,13,14,20,24,25,36,101
2009,348,3,14,17,20,24,31,34,109
2009,347,3,8,13,27,32,42,10,125
2009,346,5,13,14,22,44,45,33,143
2009,345,15,20,23,29,39,42,2,168
2009,344,1,2,15,28,34,45,38,125
2009,343,1,10,17,29,31,43,15,131
2009,342,1,13,14,33,34,43,25,138
2009,341,1,8,19,34,39,43,41,144
2009,340,18,24,26,29,34,38,32,169
2009,339,6,8,14,21,30,37,45,116
2009,338,2,13,34,38,42,45,16,174
2009,337,1,5,14,18,32,37,4,107
2009,336,3,5,20,34,35,44,16,141
2009,335,5,9,16,23,26,45,21,124
2009,334,13,15,21,29,39,43,33,160
2009,333,5,14,27,30,39,43,35,158
2009,332,16,17,34,36,42,45,3,190
2009,331,4,9,14,26,31,44,39,128
2009,330,3,4,16,17,19,20,23,79
2009,329,9,17,19,30,35,42,4,152
2009,328,1,6,9,16,17,28,24,77
2009,327,6,12,13,17,32,44,24,124
2009,326,16,23,25,33,36,39,40,172
2009,325,7,17,20,32,44,45,33,165
2009,324,2,4,21,25,33,36,17,121
2009,323,10,14,15,32,36,42,3,149
2009,322,9,18,29,32,38,43,20,169
2009,321,12,18,20,21,25,34,42,130
2009,320,16,19,23,25,41,45,3,169
2009,319,5,8,22,28,33,42,37,138
2009,318,2,17,19,20,34,45,21,137
2008,317,3,10,11,22,36,39,8,121
2008,316,10,11,21,27,31,39,43,139
2008,315,1,13,33,35,43,45,23,170
2008,314,15,17,19,34,38,41,2,164
2008,313,9,17,34,35,43,45,2,183
2008,312,2,3,5,6,12,20,25,48
2008,311,4,12,24,27,28,32,10,127
2008,310,1,5,19,28,34,41,16,128
2008,309,1,2,5,11,18,36,22,73
2008,308,14,15,17,19,37,45,40,147
2008,307,5,15,21,23,25,45,12,134
2008,306,4,18,23,30,34,41,19,150
2008,305,7,8,18,21,23,39,9,116
2008,304,4,10,16,26,33,41,38,130
2008,303,2,14,17,30,38,45,43,146
2008,302,13,19,20,32,38,42,4,164
2008,301,7,11,13,33,37,43,26,144
2008,300,7,9,10,12,26,38,39,102
2008,299,1,3,20,25,36,45,24,130
2008,298,5,9,27,29,37,40,19,147
2008,297,6,11,19,20,28,32,34,116
2008,296,3,8,15,27,30,45,44,128
2008,295,1,4,12,16,18,38,8,89
2008,294,6,10,17,30,37,38,40,138
2008,293,1,9,17,21,29,33,24,110
2008,292,17,18,31,32,33,34,10,165
2008,291,3,7,8,18,20,42,45,98
2008,290,8,13,18,32,39,45,7,155
2008,289,3,14,33,37,38,42,10,167
2008,288,1,12,17,28,35,41,10,134
2008,287,6,12,24,27,35,37,41,141
2008,286,1,15,19,40,42,44,17,161
2008,285,13,33,37,40,41,45,2,209
2008,284,2,7,15,24,30,45,28,123
2008,283,6,8,18,31,38,45,42,146
2008,282,2,5,10,18,31,32,30,98
2008,281,1,3,4,6,14,41,12,69
2008,280,10,11,23,24,36,37,35,141
2008,279,7,16,31,36,37,38,11,165
2008,278,3,11,37,39,41,43,13,174
2008,277,10,12,13,15,25,29,20,104
2008,276,4,15,21,33,39,41,25,153
2008,275,14,19,20,35,38,40,26,166
2008,274,13,14,15,26,35,39,25,142
2008,273,1,8,24,31,34,44,6,142
2008,272,7,9,12,27,39,43,28,137
2008,271,3,8,9,27,29,40,36,116
2008,270,5,9,12,20,21,26,27,93
2008,269,5,18,20,36,42,43,32,164
2008,268,3,10,19,24,32,45,12,133
2008,267,7,8,24,34,36,41,1,150
2008,266,3,4,9,11,22,42,37,91
2007,265,5,9,34,37,38,39,12,162
2007,264,9,16,27,36,41,44,5,173
2007,263,1,27,28,32,37,40,18,165
2007,262,9,12,24,25,29,31,36,130
2007,261,6,11,16,18,31,43,2,125
2007,260,7,12,15,24,37,40,43,135
2007,259,4,5,14,35,42,45,34,145
2007,258,14,27,30,31,38,40,17,180
2007,257,6,13,27,31,32,37,4,146
2007,256,4,11,14,21,23,43,32,116
2007,255,1,5,6,24,27,42,32,105
2007,254,1,5,19,20,24,30,27,99
2007,253,8,19,25,31,34,36,33,153
2007,252,14,23,26,31,39,45,28,178
2007,251,6,7,19,25,28,38,45,123
2007,250,19,23,30,37,43,45,38,197
2007,249,3,8,27,31,41,44,11,154
2007,248,3,8,17,23,38,45,13,134
2007,247,12,15,28,36,39,40,13,170
2007,246,13,18,21,23,26,39,15,140
2007,245,9,11,27,31,32,38,22,148
2007,244,13,16,25,36,37,38,19,165
2007,243,2,12,17,19,28,42,34,120
2007,242,4,19,20,21,32,34,43,130
2007,241,2,16,24,27,28,35,21,132
2007,240,6,10,16,40,41,43,21,156
2007,239,11,15,24,39,41,44,7,174
2007,238,2,4,15,28,31,34,35,114
2007,237,1,11,17,21,24,44,33,118
2007,236,1,4,8,13,37,39,7,102
2007,235,21,22,26,27,31,37,8,164
2007,234,13,21,22,24,26,37,4,143
2007,233,4,6,13,17,28,40,39,108
2007,232,8,9,10,12,24,44,35,107
2007,231,5,10,19,31,44,45,27,154
2007,230,5,11,14,29,32,33,12,124
2007,229,4,5,9,11,23,38,35,90
2007,228,17,25,35,36,39,44,23,196
2007,227,4,5,15,16,22,42,2,104
2007,226,2,6,8,14,21,22,34,73
2007,225,5,11,13,19,31,36,7,115
2007,224,4,19,26,27,30,42,7,148
2007,223,1,3,18,20,26,27,38,95
2007,222,5,7,28,29,39,43,44,151
2007,221,2,20,33,35,37,40,10,167
2007,220,5,11,19,21,34,43,31,133
2007,219,4,11,20,26,35,37,16,133
2007,218,1,8,14,18,29,44,20,114
2007,217,16,20,27,33,35,39,38,170
2007,216,7,16,17,33,36,40,1,149
2007,215,2,3,7,15,43,44,4,114
2007,214,5,7,20,25,28,37,32,122
2006,213,2,3,4,5,20,24,42,58
2006,212,11,12,18,21,31,38,8,131
2006,211,12,13,17,20,33,41,8,136
2006,210,10,19,22,23,25,37,39,136
2006,209,2,7,18,20,24,33,37,104
2006,208,14,25,31,34,40,44,24,188
2006,207,3,11,14,31,32,37,38,128
2006,206,1,2,3,15,20,25,43,66
2006,205,1,3,21,29,35,37,30,126
2006,204,3,12,14,35,40,45,5,149
2006,203,1,3,11,24,30,32,7,101
2006,202,12,14,27,33,39,44,17,169
2006,201,3,11,24,38,39,44,26,159
2006,200,5,6,13,14,17,20,7,75
2006,199,14,21,22,25,30,36,43,148
2006,198,12,19,20,25,41,45,2,162
2006,197,7,12,16,34,42,45,4,156
2006,196,35,36,37,41,44,45,30,238
2006,195,7,10,19,22,35,40,31,133
2006,194,15,20,23,26,39,44,28,167
2006,193,6,14,18,26,36,39,13,139
2006,192,4,8,11,18,37,45,33,123
2006,191,5,6,24,25,32,37,8,129
2006,190,8,14,18,30,31,44,15,145
2006,189,8,14,32,35,37,45,28,171
2006,188,19,24,27,30,31,34,36,165
2006,187,1,2,8,18,29,38,42,96
2006,186,4,10,14,19,21,45,9,113
2006,185,1,2,4,8,19,38,14,72
2006,184,1,2,6,16,20,33,41,78
2006,183,2,18,24,34,40,42,5,160
2006,182,13,15,27,29,34,40,35,158
2006,181,14,21,23,32,40,45,44,175
2006,180,2,15,20,21,29,34,22,121
2006,179,5,9,17,25,39,43,32,138
2006,178,1,5,11,12,18,23,9,70
2006,177,1,10,13,16,37,43,6,120
2006,176,4,17,30,32,33,34,15,150
2006,175,19,26,28,31,33,36,17,173
